props,tbox,,,,,,
,,,,,,,
,,,a,,,,a
,,,owl:DatatypeProperty,rdfs:subPropertyOf,rdfs:domain,rdfs:range,owl:FunctionalProperty
,,length,x,,,xsd:float,x
,,width,x,,,xsd:float,x
,,height,x,,,xsd:float,x
,,xCoordinate,x,,,xsd:float,x
,,yCoordinate,x,,,xsd:float,x
,,zCoordinate,x,,,xsd:float,x
,,deadline,x,,:specification,xsd:dateTime,x
,,realStartTime,x,,:processExecution,xsd:dateTime,x
,,realEndTime,x,,:processExecution,xsd:dateTime,x
,,duration,x,,:performance,xsd:float,x
,,emissions,x,,:performance,xsd:float,x
,,quality,x,,:performance,xsd:float,x
,,costs,x,,:performance,xsd:float,x
,,hasPriority,x,,:specification,xsd:int,x
,,isActive,x,,:resource,xsd:bool,x
,,plannedStartTime,x,,:processExecution,xsd:dateTime,x
,,plannedEndTime,x,,:processExecution,xsd:dateTime,x
,,proposalGroup,x,,:processExecution,xsd:str,x
,,hasErrorMessage,x,,:processExecution,xsd:str,x
,,hasStatus,x,,:processExecution,xsd:str,x
,,hasValue,x,,:coefficient,xsd:float,x
,,coefficientFor,x,,:coefficient,xsd:str,x